koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_disposition
0,0,0,0,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93422999999996,48.141651,CONFIRMED
0,0,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,291.93422999999996,48.141651,CONFIRMED
0,1,0,0,19.89913995,175.850252,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134128999999994,FALSE POSITIVE
0,1,0,0,1.7369524530000002,170.30756499999998,1.276,2.4064099999999997,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,285.53461,48.28521,FALSE POSITIVE
0,0,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75487999999996,48.2262,CONFIRMED
0,0,0,0,11.09432054,171.20116000000002,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467,CONFIRMED
0,0,0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467,CONFIRMED
0,0,0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486000000000001,0.972,296.28612999999996,48.22467,CONFIRMED
0,1,1,0,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,FALSE POSITIVE
0,0,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,CONFIRMED
0,0,0,0,2.470613377,122.763305,0.818,1.7431900000000002,14231.0,13.04,1339.0,761.46,4304.3,5820.0,4.457,0.964,286.80847,49.316399,CONFIRMED
0,1,0,0,2.2047354169999998,121.35854170000002,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,6440.0,4.019,1.952,292.24728,47.969521,CONFIRMED
0,0,0,0,3.5224984289999997,121.1194228,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,6225.0,4.169,1.451,281.28812,42.45108,CONFIRMED
0,0,0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,295.64871,48.49556,CONFIRMED
0,1,0,0,11.521446064000001,170.839688,2.483,3.6399,17984.0,150.51,753.0,75.88,622.1,5795.0,4.553999999999999,0.848,297.07993,47.597401,FALSE POSITIVE
